,Rho,Values
998, Value: 0.2,0.22
999, Value: 0.2,0.28
1000, Value: 0.1,0.11
1001, Value: 0.1,0.11
1002, Value: 0.1,0.12
1003, Value: 0.1,0.1
1004, Value: 0.1,0.13
1005, Value: 0.1,0.1
1006, Value: 0.1,0.11
1007, Value: 0.1,0.11
1008, Value: 0.1,0.12
1009, Value: 0.1,0.13
1010, Value: 0.1,0.11
1011, Value: 0.1,0.14
1012, Value: 0.1,0.11
1013, Value: 0.1,0.1
1014, Value: 0.1,0.11
1015, Value: 0.1,0.1
1016, Value: 0.1,0.12
1017, Value: 0.1,0.14
1018, Value: 0.1,0.11
1019, Value: 0.1,0.11
1020, Value: 0.1,0.1
1021, Value: 0.1,0.12
1022, Value: 0.1,0.11
1023, Value: 0.1,0.12
1024, Value: 0.1,0.11
1025, Value: 0.1,0.11
1026, Value: 0.1,0.1
1027, Value: 0.1,0.09
1028, Value: 0.1,0.11
1029, Value: 0.1,0.1
1030, Value: 0.1,0.13
1031, Value: 0.1,0.11
1032, Value: 0.1,0.09
1033, Value: 0.1,0.1
1034, Value: 0.1,0.12
1035, Value: 0.1,0.13
1036, Value: 0.1,0.1
1037, Value: 0.1,0.11
1038, Value: 0.1,0.11
1039, Value: 0.1,0.11
1040, Value: 0.1,0.11
1041, Value: 0.1,0.12
1042, Value: 0.1,0.1
1043, Value: 0.1,0.13
1044, Value: 0.1,0.1
1045, Value: 0.1,0.11
1046, Value: 0.1,0.11
1047, Value: 0.1,0.12
1048, Value: 0.1,0.13
1049, Value: 0.1,0.11
1050, Value: 0.1,0.14
1051, Value: 0.1,0.11
1052, Value: 0.1,0.1
1053, Value: 0.1,0.11
1054, Value: 0.1,0.1
1055, Value: 0.1,0.12
1056, Value: 0.1,0.14
1057, Value: 0.1,0.11
1058, Value: 0.1,0.11
1059, Value: 0.1,0.1
1060, Value: 0.1,0.12
1061, Value: 0.1,0.11
1062, Value: 0.1,0.12
1063, Value: 0.1,0.11
1064, Value: 0.1,0.11
1065, Value: 0.1,0.1
1066, Value: 0.1,0.09
1067, Value: 0.1,0.11
1068, Value: 0.1,0.1
1069, Value: 0.1,0.13
1070, Value: 0.1,0.11
1071, Value: 0.1,0.09
1072, Value: 0.1,0.1
1073, Value: 0.1,0.12
1074, Value: 0.1,0.13
1075, Value: 0.1,0.1
1076, Value: 0.1,0.11
1077, Value: 0.1,0.11
1078, Value: 0.1,0.11
1079, Value: 0.1,0.11
1080, Value: 0.1,0.12
1081, Value: 0.1,0.1
1082, Value: 0.1,0.13
1083, Value: 0.1,0.1
1084, Value: 0.1,0.11
1085, Value: 0.1,0.11
1086, Value: 0.1,0.12
1087, Value: 0.1,0.13
1088, Value: 0.1,0.11
1089, Value: 0.1,0.14
1090, Value: 0.1,0.11
1091, Value: 0.1,0.1
1092, Value: 0.1,0.11
1093, Value: 0.1,0.1
1094, Value: 0.1,0.12
1095, Value: 0.1,0.14
1096, Value: 0.1,0.11
1097, Value: 0.1,0.11
1098, Value: 0.1,0.1
1099, Value: 0.1,0.12
1100, Value: 0.1,0.11
1101, Value: 0.1,0.12
1102, Value: 0.1,0.11
1103, Value: 0.1,0.11
1104, Value: 0.1,0.1
1105, Value: 0.1,0.09
1106, Value: 0.1,0.11
1107, Value: 0.1,0.1
1108, Value: 0.1,0.13
1109, Value: 0.1,0.11
1110, Value: 0.1,0.09
1111, Value: 0.1,0.1
1112, Value: 0.1,0.12
1113, Value: 0.1,0.13
1114, Value: 0.1,0.1
1115, Value: 0.1,0.11
1116, Value: 0.1,0.11
1117, Value: 0.1,0.11
1118, Value: 0.1,0.11
1119, Value: 0.1,0.12
1120, Value: 0.1,0.1
1121, Value: 0.1,0.13
1122, Value: 0.1,0.1
1123, Value: 0.1,0.11
1124, Value: 0.1,0.11
1125, Value: 0.1,0.12
1126, Value: 0.1,0.13
1127, Value: 0.1,0.11
1128, Value: 0.1,0.14
1129, Value: 0.1,0.11
1130, Value: 0.1,0.1
1131, Value: 0.1,0.11
1132, Value: 0.1,0.1
1133, Value: 0.1,0.12
1134, Value: 0.1,0.14
1135, Value: 0.1,0.11
1136, Value: 0.1,0.11
1137, Value: 0.1,0.1
1138, Value: 0.1,0.12
1139, Value: 0.1,0.11
1140, Value: 0.1,0.12
1141, Value: 0.1,0.11
1142, Value: 0.1,0.11
1143, Value: 0.1,0.1
1144, Value: 0.1,0.09
1145, Value: 0.1,0.11
1146, Value: 0.1,0.1
1147, Value: 0.1,0.13
1148, Value: 0.1,0.11
1149, Value: 0.1,0.09
1150, Value: 0.1,0.1
1151, Value: 0.1,0.12
1152, Value: 0.1,0.13
1153, Value: 0.1,0.1
1154, Value: 0.1,0.11
1155, Value: 0.1,0.11
1156, Value: 0.1,0.11
1157, Value: 0.1,0.11
1158, Value: 0.1,0.12
1159, Value: 0.1,0.1
1160, Value: 0.1,0.13
1161, Value: 0.1,0.1
1162, Value: 0.1,0.11
1163, Value: 0.1,0.11
1164, Value: 0.1,0.12
1165, Value: 0.1,0.13
1166, Value: 0.1,0.11
1167, Value: 0.1,0.14
1168, Value: 0.1,0.11
1169, Value: 0.1,0.1
1170, Value: 0.1,0.11
1171, Value: 0.1,0.1
1172, Value: 0.1,0.12
1173, Value: 0.1,0.14
1174, Value: 0.1,0.11
1175, Value: 0.1,0.11
1176, Value: 0.1,0.1
1177, Value: 0.1,0.12
1178, Value: 0.1,0.11
1179, Value: 0.1,0.12
1180, Value: 0.1,0.11
1181, Value: 0.1,0.11
1182, Value: 0.1,0.1
1183, Value: 0.1,0.09
1184, Value: 0.1,0.11
1185, Value: 0.1,0.1
1186, Value: 0.1,0.13
1187, Value: 0.1,0.11
1188, Value: 0.1,0.09
1189, Value: 0.1,0.1
1190, Value: 0.1,0.12
1191, Value: 0.1,0.13
1192, Value: 0.1,0.1
1193, Value: 0.1,0.11
1194, Value: 0.1,0.11
1195, Value: 0.1,0.11
1196, Value: 0.1,0.11
1197, Value: 0.1,0.12
1198, Value: 0.1,0.1
1199, Value: 0.1,0.13
1200, Value: 0.1,0.1
1201, Value: 0.1,0.11
1202, Value: 0.1,0.11
1203, Value: 0.1,0.12
1204, Value: 0.1,0.13
1205, Value: 0.1,0.11
1206, Value: 0.1,0.14
1207, Value: 0.1,0.11
1208, Value: 0.1,0.1
1209, Value: 0.1,0.11
1210, Value: 0.1,0.1
1211, Value: 0.1,0.12
1212, Value: 0.1,0.14
1213, Value: 0.1,0.11
1214, Value: 0.1,0.11
1215, Value: 0.1,0.1
1216, Value: 0.1,0.12
1217, Value: 0.1,0.11
1218, Value: 0.1,0.12
1219, Value: 0.1,0.11
1220, Value: 0.1,0.11
1221, Value: 0.1,0.1
1222, Value: 0.1,0.09
1223, Value: 0.1,0.11
1224, Value: 0.1,0.1
1225, Value: 0.1,0.13
1226, Value: 0.1,0.11
1227, Value: 0.1,0.09
1228, Value: 0.1,0.1
1229, Value: 0.1,0.12
1230, Value: 0.1,0.13
1231, Value: 0.1,0.1
1232, Value: 0.1,0.11
1233, Value: 0.1,0.11
1234, Value: 0.1,0.11
1235, Value: 0.1,0.11
1236, Value: 0.1,0.12
1237, Value: 0.1,0.1
1238, Value: 0.1,0.13
1239, Value: 0.1,0.1
1240, Value: 0.1,0.11
1241, Value: 0.1,0.11
1242, Value: 0.1,0.12
1243, Value: 0.1,0.13
1244, Value: 0.1,0.11
1245, Value: 0.1,0.14
1246, Value: 0.1,0.11
1247, Value: 0.1,0.1
1248, Value: 0.1,0.11
1249, Value: 0.1,0.1
1250, Value: 0.1,0.12
1251, Value: 0.1,0.14
1252, Value: 0.1,0.11
1253, Value: 0.1,0.11
1254, Value: 0.1,0.1
1255, Value: 0.1,0.12
1256, Value: 0.1,0.11
1257, Value: 0.1,0.12
1258, Value: 0.1,0.11
1259, Value: 0.1,0.11
1260, Value: 0.1,0.1
1261, Value: 0.1,0.09
1262, Value: 0.1,0.11
1263, Value: 0.1,0.1
1264, Value: 0.1,0.13
1265, Value: 0.1,0.11
1266, Value: 0.1,0.09
1267, Value: 0.1,0.1
1268, Value: 0.1,0.12
1269, Value: 0.1,0.13
1270, Value: 0.1,0.1
1271, Value: 0.1,0.11
1272, Value: 0.1,0.11
1273, Value: 0.1,0.11
1274, Value: 0.1,0.11
1275, Value: 0.1,0.12
1276, Value: 0.1,0.1
1277, Value: 0.1,0.13
1278, Value: 0.1,0.1
1279, Value: 0.1,0.11
1280, Value: 0.1,0.11
1281, Value: 0.1,0.12
1282, Value: 0.1,0.13
1283, Value: 0.1,0.11
1284, Value: 0.1,0.14
1285, Value: 0.1,0.11
1286, Value: 0.1,0.1
1287, Value: 0.1,0.11
1288, Value: 0.1,0.1
1289, Value: 0.1,0.12
1290, Value: 0.1,0.14
1291, Value: 0.1,0.11
1292, Value: 0.1,0.11
1293, Value: 0.1,0.1
1294, Value: 0.1,0.12
1295, Value: 0.1,0.11
1296, Value: 0.1,0.12
1297, Value: 0.1,0.11
1298, Value: 0.1,0.11
1299, Value: 0.1,0.1
1300, Value: 0.1,0.09
1301, Value: 0.1,0.11
1302, Value: 0.1,0.1
1303, Value: 0.1,0.13
1304, Value: 0.1,0.11
1305, Value: 0.1,0.09
1306, Value: 0.1,0.1
1307, Value: 0.1,0.12
1308, Value: 0.1,0.13
1309, Value: 0.1,0.1
1310, Value: 0.1,0.11
1311, Value: 0.1,0.11
1312, Value: 0.1,0.11
1313, Value: 0.1,0.11
1314, Value: 0.1,0.12
1315, Value: 0.1,0.1
1316, Value: 0.1,0.13
1317, Value: 0.1,0.1
1318, Value: 0.1,0.11
1319, Value: 0.1,0.11
1320, Value: 0.1,0.12
1321, Value: 0.1,0.13
1322, Value: 0.1,0.11
1323, Value: 0.1,0.14
1324, Value: 0.1,0.11
1325, Value: 0.1,0.1
1326, Value: 0.1,0.11
1327, Value: 0.1,0.1
1328, Value: 0.1,0.12
1329, Value: 0.1,0.14
1330, Value: 0.1,0.11
1331, Value: 0.1,0.11
1332, Value: 0.1,0.1
1333, Value: 0.1,0.12
1334, Value: 0.1,0.11
1335, Value: 0.1,0.12
1336, Value: 0.1,0.11
1337, Value: 0.1,0.11
1338, Value: 0.1,0.1
1339, Value: 0.1,0.09
1340, Value: 0.1,0.11
1341, Value: 0.1,0.1
1342, Value: 0.1,0.13
1343, Value: 0.1,0.11
1344, Value: 0.1,0.09
1345, Value: 0.1,0.1
1346, Value: 0.1,0.12
1347, Value: 0.1,0.13
1348, Value: 0.1,0.1
1349, Value: 0.1,0.11
1350, Value: 0.1,0.11
1351, Value: 0.1,0.11
1352, Value: 0.1,0.11
1353, Value: 0.1,0.12
1354, Value: 0.1,0.1
1355, Value: 0.1,0.13
1356, Value: 0.1,0.1
1357, Value: 0.1,0.11
1358, Value: 0.1,0.11
1359, Value: 0.1,0.12
1360, Value: 0.1,0.13
1361, Value: 0.1,0.11
1362, Value: 0.1,0.14
1363, Value: 0.1,0.11
1364, Value: 0.1,0.1
1365, Value: 0.1,0.11
1366, Value: 0.1,0.1
1367, Value: 0.1,0.12
1368, Value: 0.1,0.14
1369, Value: 0.1,0.11
1370, Value: 0.1,0.11
1371, Value: 0.1,0.1
1372, Value: 0.1,0.12
1373, Value: 0.1,0.11
1374, Value: 0.1,0.12
1375, Value: 0.1,0.11
1376, Value: 0.1,0.11
1377, Value: 0.1,0.1
1378, Value: 0.1,0.09
1379, Value: 0.1,0.11
1380, Value: 0.1,0.1
1381, Value: 0.1,0.13
1382, Value: 0.1,0.11
1383, Value: 0.1,0.09
1384, Value: 0.1,0.1
1385, Value: 0.1,0.12
1386, Value: 0.1,0.13
1387, Value: 0.1,0.1
1388, Value: 0.1,0.11
1389, Value: 0.1,0.11
1390, Value: 0.1,0.11
1391, Value: 0.1,0.11
1392, Value: 0.1,0.12
1393, Value: 0.1,0.1
1394, Value: 0.1,0.13
1395, Value: 0.1,0.1
1396, Value: 0.1,0.11
1397, Value: 0.1,0.11
1398, Value: 0.1,0.12
1399, Value: 0.1,0.13
1400, Value: 0.1,0.11
1401, Value: 0.1,0.14
1402, Value: 0.1,0.11
1403, Value: 0.1,0.1
1404, Value: 0.1,0.11
1405, Value: 0.1,0.1
1406, Value: 0.1,0.12
1407, Value: 0.1,0.14
1408, Value: 0.1,0.11
1409, Value: 0.1,0.11
1410, Value: 0.1,0.1
1411, Value: 0.1,0.12
1412, Value: 0.1,0.11
1413, Value: 0.1,0.12
1414, Value: 0.1,0.11
1415, Value: 0.1,0.11
1416, Value: 0.1,0.1
1417, Value: 0.1,0.09
1418, Value: 0.1,0.11
1419, Value: 0.1,0.1
1420, Value: 0.1,0.13
1421, Value: 0.1,0.11
1422, Value: 0.1,0.09
1423, Value: 0.1,0.1
1424, Value: 0.1,0.12
1425, Value: 0.1,0.13
1426, Value: 0.1,0.1
1427, Value: 0.1,0.11
1428, Value: 0.1,0.11
1429, Value: 0.1,0.11
1430, Value: 0.1,0.11
1431, Value: 0.1,0.12
1432, Value: 0.1,0.1
1433, Value: 0.1,0.13
1434, Value: 0.1,0.1
1435, Value: 0.1,0.11
1436, Value: 0.1,0.11
1437, Value: 0.1,0.12
1438, Value: 0.1,0.13
1439, Value: 0.1,0.11
1440, Value: 0.1,0.14
1441, Value: 0.1,0.11
1442, Value: 0.1,0.1
1443, Value: 0.1,0.11
1444, Value: 0.1,0.1
1445, Value: 0.1,0.12
1446, Value: 0.1,0.14
1447, Value: 0.1,0.11
1448, Value: 0.1,0.11
1449, Value: 0.1,0.1
1450, Value: 0.1,0.12
1451, Value: 0.1,0.11
1452, Value: 0.1,0.12
1453, Value: 0.1,0.11
1454, Value: 0.1,0.11
1455, Value: 0.1,0.1
1456, Value: 0.1,0.09
1457, Value: 0.1,0.11
1458, Value: 0.1,0.1
1459, Value: 0.1,0.13
1460, Value: 0.1,0.11
1461, Value: 0.1,0.09
1462, Value: 0.1,0.1
1463, Value: 0.1,0.12
1464, Value: 0.1,0.13
1465, Value: 0.1,0.1
1466, Value: 0.1,0.11
1467, Value: 0.1,0.11
1468, Value: 0.1,0.11
1469, Value: 0.1,0.11
1470, Value: 0.1,0.12
1471, Value: 0.1,0.1
1472, Value: 0.1,0.13
1473, Value: 0.1,0.1
1474, Value: 0.1,0.11
1475, Value: 0.1,0.11
1476, Value: 0.1,0.12
1477, Value: 0.1,0.13
1478, Value: 0.1,0.11
1479, Value: 0.1,0.14
1480, Value: 0.1,0.11
1481, Value: 0.1,0.1
1482, Value: 0.1,0.11
1483, Value: 0.1,0.1
1484, Value: 0.1,0.12
1485, Value: 0.1,0.14
1486, Value: 0.1,0.11
1487, Value: 0.1,0.11
1488, Value: 0.1,0.1
1489, Value: 0.1,0.12
1490, Value: 0.1,0.11
1491, Value: 0.1,0.12
1492, Value: 0.1,0.11
1493, Value: 0.1,0.11
1494, Value: 0.1,0.1
1495, Value: 0.1,0.09
1496, Value: 0.1,0.11
1497, Value: 0.1,0.1
1498, Value: 0.1,0.13
1499, Value: 0.1,0.11
